alert_id,alert_timestamp,transaction_id,customer_id,alert_type,severity,alert_source,resolved,resolution_time_hours,analyst_action
ALT-000252,2024-02-09 08:04:16,,CUST-00459,pattern_match,low,ml_model,1,13.6,dismissed
ALT-000253,2024-01-18 04:29:32,,CUST-00270,device_change,low,ml_model,0,,
ALT-000254,2024-01-23 18:11:45,,CUST-00530,geo_anomaly,medium,ml_model,0,,
ALT-000255,2024-02-03 12:40:26,,CUST-00274,device_change,low,ml_model,1,5.8,blocked
ALT-000256,2024-01-10 15:19:52,,CUST-00309,high_value,medium,ml_model,0,,
ALT-000257,2024-02-26 05:17:09,,CUST-00311,device_change,low,ml_model,0,,
ALT-000258,2024-01-04 07:59:29,,CUST-00045,device_change,medium,ml_model,0,,
ALT-000259,2024-01-23 07:18:29,,CUST-00494,device_change,medium,ml_model,1,3.4,escalated
ALT-000260,2024-02-20 04:17:58,,CUST-00162,geo_anomaly,medium,ml_model,1,3.3,dismissed
ALT-000261,2024-01-27 21:56:56,,CUST-00524,velocity_check,low,ml_model,1,4.0,blocked
ALT-000262,2024-02-06 21:27:56,,CUST-00291,geo_anomaly,critical,ml_model,1,5.8,dismissed
ALT-000263,2024-02-23 18:27:36,,CUST-00396,geo_anomaly,low,ml_model,0,,
ALT-000264,2024-01-25 09:25:23,,CUST-00315,device_change,low,ml_model,0,,
ALT-000265,2024-01-24 09:11:57,,CUST-00311,device_change,critical,ml_model,0,,
ALT-000266,2024-01-21 21:06:30,,CUST-00630,high_value,medium,ml_model,1,17.3,investigating
ALT-000267,2024-01-27 05:42:36,,CUST-00083,velocity_check,high,ml_model,0,,
ALT-000268,2024-02-18 07:01:38,,CUST-00750,device_change,low,ml_model,1,12.8,escalated
ALT-000269,2024-01-20 05:07:58,,CUST-00229,device_change,medium,ml_model,0,,
ALT-000270,2024-01-05 04:44:15,,CUST-00505,high_value,low,ml_model,1,31.7,escalated
ALT-000271,2024-02-17 16:56:26,,CUST-00070,geo_anomaly,high,ml_model,1,2.9,dismissed
ALT-000272,2024-01-25 12:55:22,,CUST-00751,device_change,medium,ml_model,1,5.1,investigating
ALT-000273,2024-02-06 01:14:24,,CUST-00239,velocity_check,high,ml_model,1,3.1,blocked
ALT-000274,2024-02-29 23:32:30,,CUST-00303,pattern_match,medium,ml_model,0,,
ALT-000275,2024-01-30 13:49:46,,CUST-00375,velocity_check,high,ml_model,1,4.8,investigating
